Statistical profiling result from isolate-0x103000000-v8.log, (940 ticks, 107 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
     13    1.4%    1.9%  v8::internal::SharedFunctionInfo::SetScript(v8::internal::Handle<v8::internal::SharedFunctionInfo>, v8::internal::Handle<v8::internal::Object>)
     12    1.3%    1.7%  v8::internal::IncrementalMarking::Step(unsigned long, v8::internal::IncrementalMarking::CompletionAction, v8::internal::IncrementalMarking::ForceCompletionAction, v8::internal::StepOrigin)
      9    1.0%    1.3%  void v8::internal::BodyDescriptorBase::IterateBodyImpl<v8::internal::IncrementalMarkingMarkingVisitor>(v8::internal::Heap*, v8::internal::HeapObject*, int, int)
      8    0.9%    1.1%  void node::StreamBase::JSMethod<node::StreamWrap, &(int node::StreamBase::WriteString<(node::encoding)1>(v8::FunctionCallbackInfo<v8::Value> const&))>(v8::FunctionCallbackInfo<v8::Value> const&)
      8    0.9%    1.1%  v8::internal::compiler::MoveOptimizer::MigrateMoves(v8::internal::compiler::Instruction*, v8::internal::compiler::Instruction*)
      8    0.9%    1.1%  v8::internal::Zone::New(unsigned long)
      7    0.7%    1.0%  v8::internal::compiler::LinearScanAllocator::FindFreeRegistersForRange(v8::internal::compiler::LiveRange*, v8::internal::Vector<v8::internal::compiler::LifetimePosition>)
      7    0.7%    1.0%  v8::internal::compiler::LinearScanAllocator::AllocateRegisters()
      7    0.7%    1.0%  v8::internal::InnerPointerToCodeCache::GcSafeFindCodeForInnerPointer(unsigned char*)
      5    0.5%    0.7%  v8::internal::compiler::LiveRangeConnector::ResolveControlFlow(v8::internal::Zone*)
      5    0.5%    0.7%  v8::internal::compiler::CodeAssemblerLabel::Bind()
      5    0.5%    0.7%  v8::internal::StaticMarkingVisitor<v8::internal::IncrementalMarkingMarkingVisitor>::MarkMapContents(v8::internal::Heap*, v8::internal::Map*)
      5    0.5%    0.7%  node::Binding(v8::FunctionCallbackInfo<v8::Value> const&)
      4    0.4%    0.6%  v8::internal::compiler::Node::New(v8::internal::Zone*, unsigned int, v8::internal::compiler::Operator const*, int, v8::internal::compiler::Node* const*, bool)
      4    0.4%    0.6%  v8::internal::LChunk::MarkEmptyBlocks()
      4    0.4%    0.6%  int v8::internal::BinarySearch<(v8::internal::SearchMode)1, v8::internal::DescriptorArray>(v8::internal::DescriptorArray*, v8::internal::Name*, int, int*)
      3    0.3%    0.4%  v8::internal::compiler::RegisterAllocator::SplitAndSpillRangesDefinedByMemoryOperand()
      3    0.3%    0.4%  v8::internal::compiler::OperandAssigner::CommitAssignment()
      3    0.3%    0.4%  v8::internal::compiler::LiveRangeBuilder::ProcessInstructions(v8::internal::compiler::InstructionBlock const*, v8::internal::BitVector*)
      3    0.3%    0.4%  v8::internal::compiler::InstructionSelector::VisitBlock(v8::internal::compiler::BasicBlock*)
      3    0.3%    0.4%  v8::internal::compiler::ConstraintBuilder::MeetConstraintsBefore(int)
      3    0.3%    0.4%  v8::internal::compiler::CodeGenerator::AssembleInstruction(v8::internal::compiler::Instruction*, v8::internal::compiler::InstructionBlock const*)
      3    0.3%    0.4%  v8::internal::compiler::CodeAssemblerLabel::MergeVariables()
      3    0.3%    0.4%  v8::internal::Scanner::Scan()
      3    0.3%    0.4%  v8::internal::CpuFeatures::FlushICache(void*, unsigned long)
